Область,Город,Название,"Индекс, Адрес",префикс,номер1,номер2,номер3
Вінницька область,Вінниця,Регіональне відділення у м. Вінниця,"21100, пл. Привокзальна , 1",380 (432),63 25 91,63 26 91,
Вінницька область,Козятин,Відділення №1 у м. Козятин,"22100, вул. Привокзальна, буд. 7",380 (4342),02 09 86,5 27 35,5 26 02
Вінницька область,Жмеринка,Відділення №1 у м. Жмеринка,"23100, вул. Київська, буд. 17",380 (4332),5 10 84,5 10 85,2 14 45
Дніпропетровська область,Дніпро,Регіональне відділення у м.Дніпро,"49044,вул. С.Єфремова, 16",380 (56),790 38 40,0790 04 24,740 37 37
Дніпропетровська область,Дніпро,Відділення №1 у м. Дніпро,"49600, пр. Д. Яворницького, 108",380 (56),770 01 60,,
Дніпропетровська область,Дніпро,Відділення №2 у м. Дніпро,"49000, вул.Ладозька, 2-а",380 (56),731 27 37,731 27 44,
Дніпропетровська область,Дніпро,Відділення № 3 ум.Дніпро,"49000, вул.Шевченка, 34",380 (562),39 92 00,,
Дніпропетровська область,Кривий Ріг,Відділення № 1 у м.Кривий Ріг,"50027, вул. Костенка, 11",380 (564),99 00 23,99 00 24,
Дніпропетровська область,Кривий Ріг,Відділення №2 у м. Кривий Ріг,"50055, вул. Магістральна , 19",380 (5640),4 80 04,,
Дніпропетровська область,Синельникове,Відділення №1 у м. Синельникове,"52500, вул. Виконкомівська, 60а",380 (5663),2 34 15,,
Донецька область,Волноваха,Відділення №1 у м. Волноваха,"85700, пр-к Путійський, 34, прим. 4",380 (6244),4 15 27,,
Донецька область,Краматорськ,Відділення №1 у м. Краматорськ,"84313, б-р Машинобудівників, 20",380 (626),48 96 67,48 96 98,
Донецька область,Лиман,Відділення №1 у м. Лиман,"84404, вул. Слов'янська, 7",380 (50),474 14 30,,
Донецька область,Покровськ,Відділення №1 у м. Покровськ,"85300, пр-т Шахтобудівників, 2, прим. 2",380 (623),52 19 35,52 19 36,
Житомирська область,Житомир,Регіональне відділення у м. Житомир,"10001, Майдан Привокзальний, 3",380 (412),44 42 38,,
Житомирська область,Коростень,Відділення №1 у м. Коростень,"11500, вул. Героїв Небесної Сотні, 14",380 (4142),9 62 00,,
Закарпатська область,Ужгород,Регіональне відділення у м. Ужгород,"88000, вул. Митрака,13/1",380 (312),67 27 76,,
Закарпатська область,Мукачеве,Відділення №1 у м. Мукачеве,"89600, вул.Пушкіна 24-А",380 (3131),2 13 91,,
Запорізька область,Запоріжжя,Регіональне відділення у м.Запоріжжя,"69037, вул. Незалежної України, 39 Д",380 (61),225 19 30,225 19 28,225 19 10
Запорізька область,Запоріжжя,Відділення № 1 у м.Запоріжжя,"69106, вул. Фортечна, 2-В",380 (61),289 05 58,,
Запорізька область,Запоріжжя,Відділення № 2 у м.Запоріжжя,"69124, Хортицьке шосе, 30 Б",380 (61),228 00 63,228 13 63,
